       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
       94.425         74.471              0        75.7353       -956.347         101647      0.0890906       -1.12875        119.972        23.7683
      413.332        70.8634              0        4457.04       -19740.8        -153646        5.26098          -23.3       -181.344        12.7711
      44.8075        91.2902              0       -62.7131        108.758       -14899.6      -0.074024       0.128371       -17.5858        72.7722
      2.58336        81.5324              0          396.7        64.1829        32000.1       0.468039      0.0756449        37.7701        41.2998
      21.9523        74.3236              0       -2.63692        2319.72        93663.2    -0.00307861        2.73774        110.545         19.215
      37.9828        94.9632              0        4.64143        172.794       -5951.88     0.00556195       0.203974       -7.02497        59.0162
      291.561        81.6971              0       -85.6378        8.31046       -48462.2      -0.101056     0.00971981       -57.1987         24.736
      129.117        69.4096              0        1190.81        76953.3        -333955        1.40592        90.8243       -394.161        11.1644
      347.579        70.4389              0       -670.034       -730.994        -210293      -0.790767      -0.863162       -248.204        6.62182
      5.06206        70.9702              0       -619.566       -19606.6         131947      -0.731737       -23.1413        155.736        10.7566
      420.576        69.5877              0       -963.239        27869.4         144378       -1.13671        32.8933        170.406         13.127
      89.6378         80.889              0        108.826         293.26       -50379.9       0.128394       0.346253       -59.4624        25.7094
       146.67        85.4525              0       -196.308       -112.129       -31298.3      -0.231505      -0.132464       -36.9399        60.2998
      323.448        76.5158              0       -380.884        86.4375       -81551.3      -0.449759       0.101761        -96.251        21.8645
      208.824        73.7082              0        869.559        189.674        -116698        1.02635       0.222892       -137.738        14.4412
      183.907        68.8349              0       -9349.12        78055.9        -443217        -11.034        92.1274       -523.104        2.65563
      31.2341        91.3872              0       -15.2301        108.953       -13326.5      -0.017933       0.128674       -15.7293         65.197
      421.166        94.7705              0        40.8339       -86.1407        3065.89      0.0481757        -0.1016          3.619        62.6485
      436.521        72.7629              0       -429.124       -5958.18       -32898.9      -0.506485       -7.03231       -38.8296        31.5734
      69.1727        91.2322              0       -6.46089        71.4058       -15183.6    -0.00765221      0.0842455       -17.9204        54.3512
      90.7169        76.0924              0       -330.728       -112.183       -83132.2      -0.390146      -0.132074       -98.1219        19.9288
      55.5373        68.6813              0        6304.89        82114.1        -421080        7.43895        96.9167       -496.964        5.41085
     -12.3428        89.1946              0        3.13031       -53.6101       -8059.44     0.00334801     -0.0628762       -9.51328        77.7358
    -0.322612        94.2092              0       -11.4097        92.6574       -4630.06     -0.0131201       0.109403       -5.46486        72.8486
      153.315        69.7373              0         3063.1       -18967.9         272398        3.61498       -22.3877        321.501        4.24303
      47.8723        69.6351              0       -727.609       -34446.7        -269171      -0.858349       -40.6574       -317.694        3.71407
     -5.83194        89.2534              0       -100.987        251.302        10360.2      -0.119174       0.296604        12.2278         67.138
      330.795        82.1018              0       -219.888        269.596       -45505.9      -0.259186       0.318148       -53.7094        36.2447
      139.861         77.487              0        744.965        788.014       -73807.9       0.879236       0.929974       -87.1154         31.599
      -15.552        94.1505              0       -3.33102       -27.5576        2827.62    -0.00392441     -0.0325059        3.33732        77.0521
     -17.5073        70.9392              0        1901.83        13598.7        35935.5        2.24473        16.0502        42.4141        32.9696
      140.746        83.0576              0       -138.663        434.829       -40353.4      -0.163419       0.513168       -47.6287        52.2186
      110.413        85.1618              0        41.6307         -553.4       -33027.4      0.0489876      -0.653199       -38.9803        49.7758
      165.109        69.8413              0        1449.08       -28953.9        -276441        1.71052       -34.1737       -326.278        5.07303
     -13.8745        73.0141              0        -1558.3       -6806.41        43020.5       -1.83926       -8.03345        50.7757         38.353
      297.881        76.0923              0       -97.7879       -342.463       -82987.9      -0.114582      -0.404075       -97.9454        21.6867
      217.138        70.7331              0       -193.763       -26601.5         205641      -0.228073       -31.3965        242.723        13.7181
       174.45        69.4557              0       -6831.36       -31849.2        -318883       -8.06307        -37.591       -376.363        4.39767
      168.755        69.6299              0       -3797.11       -24238.6        -251537        -4.4809       -28.6084       -296.878        4.85038
      222.193        70.1418              0       -9699.89       -21367.1        -252463       -11.4468       -25.2214       -297.975        5.05851
      287.511         89.858              0       -197.592        192.685        17341.7      -0.233263        0.22745         20.468        71.8338
      432.153        70.0222              0       -1367.76        19381.9        62198.1       -1.61445         22.876        73.4123        18.6981
      224.169        77.4875              0       -87.7055        539.934         -72472      -0.103596        0.63738       -85.5383        23.6212
      185.474        71.6507              0        713.836        2016.63        -159023        0.84176        2.37952        -187.69        5.10621
      409.124        94.3482              0        46.1319        130.086        4613.44      0.0545178        0.15355        5.44522        69.8715
      292.033        74.7215              0        1162.31        2634.23        -101556        1.37171        3.10936       -119.863        17.8094
     -13.1581        78.0582              0         144.88       -303.691        25763.5       0.171018        -0.3585        30.4077        46.8927
      104.706        69.8537              0        8167.11       -26981.9        -262687        9.64073       -31.8456       -310.045        5.82766
      307.028        69.4598              0       -3222.27       -15194.8         255846       -3.80296       -17.9333        301.971        5.06562
      60.1051         68.892              0       -6432.55        64002.7         316494       -7.59324        75.5392        373.555        7.05439
      18.5092        91.2614              0       -45.2243       -43.1775       -11767.9     -0.0534524     -0.0511863       -13.8892        61.2805
      330.193        68.7222              0       -7534.41        87612.9        -355456       -8.89267        103.404        -419.53        5.75319
      63.6761        94.6213              0        46.0883        43.6151        7668.08      0.0544432      0.0515069        9.05081        64.7593
      230.673        78.2742              0        47.8034        508.371       -66264.1      0.0564155       0.600129       -78.2123        21.5687
      108.628        91.2492              0       -177.786       -44.2239       -15711.3      -0.209783     -0.0523817       -18.5427        61.9579
      182.155        69.4783              0       -9831.28       -22766.1        -285403        -11.603       -26.8702       -336.846        4.69058
